Material,Value
Li (Co0.8Ni0.2−yAly)O2,2.5
Li (Co0.8Ni0.2−yAly)O2,4.5
Li )-E(NO+ / Li,0.6
Li / (Li)[Mn2−xLix / 4Co3x / 4]O4,3.5
Li / (Li)[Mn2−xLix / 4Co3x / 4]O4,4.4
Li / (PEO)9-LiCF3SO3 / V6O13,2
Li / / BiSbO4,0.5
Li / / Br,0.29
Li / / Br,0.19
Li / / Cu,1
Li / / Fe0.5Ti2(PO4)3,3.5
Li / / Fe0.5Ti2(PO4)3,0.5
Li / / Fe0.5TiOPO4 / C,1.3
Li / / FeP @ C,3
Li / / α-MoO3,2.29
Li / / α-MoO3,2.81
Li / / Li0.33MnO2,3.8
Li / / Li2FeSiO3.5N0.5,4.2
Li / / Li2FeSiO4,2.00E-05
Li / / Li2Mn0.8Ni0.2SiO4,4.5
Li / / Li2Mn0.8Ni0.2SiO4,4.8
Li / / Li3Ti2(PO4)3,2.2
Li / / Li3Ti2(PO4)3,3.5
Li / / Li4Ti5O12,1.2
Li / / Li4Ti5O12,2.5
Li / / LiAl0.1Co0.9O2,4.3
Li / / LiAlyCo1−yO2,4.3
Li / / LiCo0.8Mn0.2O2,3.85
Li / / LiCo0.8Ni0.1Mn0.1O2,3
Li / / LiCo0.8Ni0.1Mn0.1O2,4.5
Li / / LiCo0.95Al0.05O2,4.4
Li / / LiCo0.95B0.05O2,3
Li / / LiCo0.95B0.05O2,4.4
Li / / LiCo1−yAlyO2,2.5
Li / / LiCo1−yAlyO2,4.4
Li / / LiCo1−yAlyO2,4.3
Li / / LiCo1−yByO2,4.4
Li / / LiCo1−yByO2,2.5
Li / / LiCoO2,4.163
Li / / LiCoO2,4.5
Li / / LiCoO2,3.64
Li / / LiCoO2,3
Li / / LiCoO2,4.2
Li / / LiCoO2,4.4
Li / / LiFe2P3O10,2.7
Li / / LiFe2P3O10,3.9
Li / / LiFe2P3O10,2.00E-05
Li / / LiFePO4,4
Li / / LiFePO4,1
Li / / LiFePO4,2.5
Li / / LiMn1.7Al0.3O4,4
Li / / LiMn1.8Co0.2O4,4
Li / / LiMn2−yCoyO4,4.3
Li / / LiMn2O4,4.1
Li / / LiMn2O4,4.2
Li / / LiMnPO4,2
Li / / LiMnPO4,4.9
Li / / LiMoO2,2
Li / / LiMoO2,3.9
Li / / LiMoO2,4
Li / / LiMoVO6,2.5
